Country,iso3c,Year,GDP
Antigua and Barbuda,ATG,2004,1026329629.62963
Antigua and Barbuda,ATG,2008,1557640740.74074
Antigua and Barbuda,ATG,2012,1364729629.62963
Antigua and Barbuda,ATG,2016,1489603703.7037
Antigua and Barbuda,ATG,2020,1411637037.03704
Australia,AUS,1960,18607682977.2293
Australia,AUS,1964,23801123808.1798
Australia,AUS,1968,32714085234.2536
Australia,AUS,1972,52042056074.7664
Australia,AUS,1976,105060616984.856
Australia,AUS,1980,149987743732.591
Australia,AUS,1984,193525337525.765
Australia,AUS,1988,236161314544.153
Australia,AUS,1992,325525379566.838
Australia,AUS,1996,401341880620.728
Australia,AUS,2000,416167815092.908
Australia,AUS,2004,614659980082.515
Australia,AUS,2008,1056112427190.38
Australia,AUS,2012,1547532281116.4
Australia,AUS,2016,1206836962281.84
Australia,AUS,2020,1328414058378.38
Austria,AUT,1960,6624086313.14334
Austria,AUT,1964,9213648655.97511
Austria,AUT,1968,12499863917.1003
Austria,AUT,1972,21973207929.0434
Austria,AUT,1976,42791707448.0325
Austria,AUT,1980,81737498404.5948
Austria,AUT,1984,67719055773.3306
Austria,AUT,1988,132817124707.456
Austria,AUT,1992,194314032056.098
Austria,AUT,1996,235952581232.129
Austria,AUT,2000,196181599831.287
Austria,AUT,2004,299210411454.823
Austria,AUT,2008,429234399096.173
Austria,AUT,2012,406750487603.59
Austria,AUT,2016,393687359770.273
Austria,AUT,2020,434397601557.696
Azerbaijan,AZE,1992,444658671.586716
Azerbaijan,AZE,1996,3176507376.31836
Azerbaijan,AZE,2000,5272615722.96892
Azerbaijan,AZE,2004,8680405740.94125
Azerbaijan,AZE,2008,48851293785.4483
Azerbaijan,AZE,2012,69679944504.1972
Azerbaijan,AZE,2016,37866996882.9157
Azerbaijan,AZE,2020,42693000000
Burundi,BDI,1960,195999990
Burundi,BDI,1964,260750008
Burundi,BDI,1968,183200000
Burundi,BDI,1972,246804571.428571
Burundi,BDI,1976,448412753.623188
Burundi,BDI,1980,919726666.666667
Burundi,BDI,1984,987143931.166987
Burundi,BDI,1988,1082403219.48787
Burundi,BDI,1992,1083037670.60484
Burundi,BDI,1996,869033856.317093
Burundi,BDI,2000,870486065.883137
Burundi,BDI,2004,915257323.3961
Burundi,BDI,2008,1611835857.04588
Burundi,BDI,2012,2333341334.45753
Burundi,BDI,2016,2644487776.50077
Burundi,BDI,2020,2649680261.44299
Belgium,BEL,1960,11810619368.3874
Belgium,BEL,1964,16168044450.2523
Belgium,BEL,1968,21654856965.4281
Belgium,BEL,1972,37209418018.5134
Belgium,BEL,1976,71113882967.6071
Belgium,BEL,1980,126829314388.191
Belgium,BEL,1984,83349530159.1734
Belgium,BEL,1988,162299103675.261
Belgium,BEL,1992,234781652446.675
Belgium,BEL,1996,279201433224.756
Belgium,BEL,2000,236792460312.471
Belgium,BEL,2004,369214712443.206
Belgium,BEL,2008,517328087920.078
Belgium,BEL,2012,498414364944.961
Belgium,BEL,2016,474271566739.729
Belgium,BEL,2020,529694473501.791
Benin,BEN,1960,226195578.434497
Benin,BEN,1964,269819005.87814
Benin,BEN,1968,326323105.26476
Benin,BEN,1972,410331856.991218
Benin,BEN,1976,698408261.922237
Benin,BEN,1980,1405251846.54048
Benin,BEN,1984,1051134008.78979
Benin,BEN,1988,1620246083.79478
Benin,BEN,1992,1695315305.70308
Benin,BEN,1996,2361116449.39308
Benin,BEN,2000,3519991440.47913
Benin,BEN,2004,6190270380.49856
Benin,BEN,2008,9787734526.23965
Benin,BEN,2012,11141358115.8991
Benin,BEN,2016,11821065853.3838
Benin,BEN,2020,15686741893.5187
Burkina Faso,BFA,1960,330442815.821186
Burkina Faso,BFA,1964,410321644.964911
Burkina Faso,BFA,1968,460442689.376378
Burkina Faso,BFA,1972,578595521.990135
Burkina Faso,BFA,1976,976547188.054778
Burkina Faso,BFA,1980,1928719888.20688
Burkina Faso,BFA,1984,1459880132.14107
Burkina Faso,BFA,1988,2616040478.99309
Burkina Faso,BFA,1992,3356692505.18266
Burkina Faso,BFA,1996,2586550595.41013
Burkina Faso,BFA,2000,2968370087.59759
Burkina Faso,BFA,2004,5451688537.60959
Burkina Faso,BFA,2008,9451435490.11467
Burkina Faso,BFA,2012,12561015156.5683
Burkina Faso,BFA,2016,12833363045.3367
Burkina Faso,BFA,2020,17725010532.5268
Bangladesh,BGD,1960,4274894083.33333
Bangladesh,BGD,1964,5386054833.33333
Bangladesh,BGD,1968,7483685770.83333
Bangladesh,BGD,1972,6288245866.66667
Bangladesh,BGD,1976,10117113333.3333
Bangladesh,BGD,1980,18138049095.6072
Bangladesh,BGD,1984,18920840000
Bangladesh,BGD,1988,26579005558.3652
Bangladesh,BGD,1992,31708874594.1645
Bangladesh,BGD,1996,46438484107.5795
Bangladesh,BGD,2000,53369787318.6245
Bangladesh,BGD,2004,65108544250.0425
Bangladesh,BGD,2008,91636997370.9772
Bangladesh,BGD,2012,133310747603.483
Bangladesh,BGD,2016,265224515675.034
Bangladesh,BGD,2020,373979442362.193
Bulgaria,BGR,1980,19839230769.2308
Bulgaria,BGR,1984,17594944444.4444
Bulgaria,BGR,1988,22555941176.4706
Bulgaria,BGR,1992,8602887622.63828
Bulgaria,BGR,1996,12294964837.6235
Bulgaria,BGR,2000,13245990274.4581
Bulgaria,BGR,2004,26157743368.8716
Bulgaria,BGR,2008,54480684188.4442
Bulgaria,BGR,2012,54297052002.2338
Bulgaria,BGR,2016,53929397039.2106
Bulgaria,BGR,2020,70550652466.6251
Bahrain,BHR,1972,534081183.680728
Bahrain,BHR,1976,1581709518.98261
Bahrain,BHR,1980,3493834468.02865
Bahrain,BHR,1984,4440874566.48936
Bahrain,BHR,1988,4209834172.87234
Bahrain,BHR,1992,5402232446.80851
Bahrain,BHR,1996,6938166755.31915
Bahrain,BHR,2000,9062898936.17021
Bahrain,BHR,2004,13150159574.4681
Bahrain,BHR,2008,25710904255.3191
Bahrain,BHR,2012,31963404255.3191
Bahrain,BHR,2016,33884680851.0638
Bahrain,BHR,2020,35837632978.7234
"Bahamas, The",BHS,1960,169736027.157764
"Bahamas, The",BHS,1964,266560042.649607
"Bahamas, The",BHS,1968,453800000
"Bahamas, The",BHS,1972,590900000
"Bahamas, The",BHS,1976,642100000
"Bahamas, The",BHS,1980,1335300000
"Bahamas, The",BHS,1984,2041100000
"Bahamas, The",BHS,1988,2817900000
"Bahamas, The",BHS,1992,3109000000
"Bahamas, The",BHS,1996,3609000000
"Bahamas, The",BHS,2000,8076470000
"Bahamas, The",BHS,2004,9055290000
"Bahamas, The",BHS,2008,10526000000
"Bahamas, The",BHS,2012,10720400000
"Bahamas, The",BHS,2016,11880900000
"Bahamas, The",BHS,2020,10363200000
Bosnia and Herzegovina,BIH,1992,4735044707.23969
Bosnia and Herzegovina,BIH,1996,2786045321.63743
Bosnia and Herzegovina,BIH,2000,5567772768.81188
Bosnia and Herzegovina,BIH,2004,10156541538.399
Bosnia and Herzegovina,BIH,2008,19112796623.1175
Bosnia and Herzegovina,BIH,2012,17226735995.6905
Bosnia and Herzegovina,BIH,2016,17116926327.6247
Bosnia and Herzegovina,BIH,2020,20226036564.4129
Belarus,BLR,1992,16939790093.9054
Belarus,BLR,1996,14756846153.8462
Belarus,BLR,2000,12736780455.1539
Belarus,BLR,2004,23141566292.9462
Belarus,BLR,2008,60752106347.126
Belarus,BLR,2012,65685890438.8922
Belarus,BLR,2016,47723545321.259
Belarus,BLR,2020,61371673344.7424
Belize,BLZ,1960,28072478.0724781
Belize,BLZ,1964,36194586.1945862
Belize,BLZ,1968,44999910.00018
Belize,BLZ,1972,65998069.3847631
Belize,BLZ,1976,97094227.2292471
Belize,BLZ,1980,257400000
Belize,BLZ,1984,290350000
Belize,BLZ,1988,421450000
Belize,BLZ,1992,696250000
Belize,BLZ,1996,850850000
Belize,BLZ,2000,1138900000
Belize,BLZ,2004,1400850000
Belize,BLZ,2008,1738900000
Belize,BLZ,2012,1909400000
Belize,BLZ,2016,2240200000
Belize,BLZ,2020,2042850000
Bermuda,BMU,1960,72400000
Bermuda,BMU,1964,92200000
Bermuda,BMU,1968,150000000
Bermuda,BMU,1972,235400000
Bermuda,BMU,1976,386300000
Bermuda,BMU,1980,613299968
Bermuda,BMU,1984,985699968
Bermuda,BMU,1988,1415100032
Bermuda,BMU,1992,1679900000
Bermuda,BMU,1996,2695390000
Bermuda,BMU,2000,3480219000
Bermuda,BMU,2004,4484703000
Bermuda,BMU,2008,6980000000
Bermuda,BMU,2012,6378188000
Bermuda,BMU,2016,6899911000
Bermuda,BMU,2020,6887364000
Bolivia,BOL,1960,373250000
Bolivia,BOL,1964,538583333.333333
Bolivia,BOL,1968,849333333.333333
Bolivia,BOL,1972,1286153846.15385
Bolivia,BOL,1976,2733350000
Bolivia,BOL,1980,4450360000
Bolivia,BOL,1984,6169304528.06122
Bolivia,BOL,1988,4597611710.19835
Bolivia,BOL,1992,5643868748.68126
Bolivia,BOL,1996,7396949126.35685
Bolivia,BOL,2000,8397855484.76908
Bolivia,BOL,2004,8773451751.5121
Bolivia,BOL,2008,16674276285.8956
Bolivia,BOL,2012,27084497481.9103
Bolivia,BOL,2016,33941126193.9219
Bolivia,BOL,2020,36629843806.0781
Brazil,BRA,1960,17030465539.3906
Brazil,BRA,1964,20963733694.9749
Brazil,BRA,1968,33930457425.2613
Brazil,BRA,1972,58434858374.8696
Brazil,BRA,1976,153168949208.207
Brazil,BRA,1980,237393489892.637
Brazil,BRA,1984,188339974086.58
Brazil,BRA,1988,307881930752.268
Brazil,BRA,1992,328191909882.232
Brazil,BRA,1996,850426432991.742
Brazil,BRA,2000,655448231983.527
Brazil,BRA,2004,669289424806.307
Brazil,BRA,2008,1695855083497.52
Brazil,BRA,2012,2465227802806.76
Brazil,BRA,2016,1795693482853.01
Brazil,BRA,2020,1476107231310.49
Barbados,BRB,1960,80021846.9453826
Barbados,BRB,1964,99252731.4515047
Barbados,BRB,1968,125733668.5
Barbados,BRB,1972,213725216.665339
Barbados,BRB,1976,435911268.58968
Barbados,BRB,1980,1012280614.52792
Barbados,BRB,1984,1346890071.09829
Barbados,BRB,1988,1812757917.76463
Barbados,BRB,1992,1957000000
Barbados,BRB,1996,2363645403.47039
Barbados,BRB,2000,3059500000
Barbados,BRB,2004,3444500000
Barbados,BRB,2008,4790410400
Barbados,BRB,2012,5271257500
Barbados,BRB,2016,5330761500
Barbados,BRB,2020,5168344450
Brunei Darussalam,BRN,1968,160818235.866746
Brunei Darussalam,BRN,1972,270822782.026674
Brunei Darussalam,BRN,1976,3054765590.29214
Brunei Darussalam,BRN,1980,10795432293.6119
Brunei Darussalam,BRN,1984,7632788075.1621
Brunei Darussalam,BRN,1988,4535130304.71096
Brunei Darussalam,BRN,1992,6327966444.87488
Brunei Darussalam,BRN,1996,7663377277.0035105
Brunei Darussalam,BRN,2000,6570999059.70575
Brunei Darussalam,BRN,2004,8619178799.47025
Brunei Darussalam,BRN,2008,15926456491.5178
Brunei Darussalam,BRN,2012,19048443339.9457
Brunei Darussalam,BRN,2016,11400266055.3232
Brunei Darussalam,BRN,2020,12005799664.2691
Bhutan,BTN,1972,70139866.8083136
Bhutan,BTN,1976,88461262.7788474
Bhutan,BTN,1980,128669200.916451
Bhutan,BTN,1984,160423493.936194
Bhutan,BTN,1988,272298066.556045
Bhutan,BTN,1992,240233531.160464
Bhutan,BTN,1996,303408345.620078
Bhutan,BTN,2000,460733418.399276
Bhutan,BTN,2004,735348490.428435
Bhutan,BTN,2008,1317517834.59916
Bhutan,BTN,2012,1973387227.96519
Bhutan,BTN,2016,2357504760.78592
Bhutan,BTN,2020,2457604333.90927
Botswana,BWA,1960,30411413.6552828
Botswana,BWA,1964,41616347.7906865
Botswana,BWA,1968,66248441.4182466
Botswana,BWA,1972,164460914.977201
Botswana,BWA,1976,372025093.006273
Botswana,BWA,1980,1060889703.75374
Botswana,BWA,1984,1240822167.43571
Botswana,BWA,1988,2644554158.72794
Botswana,BWA,1992,4146464586.61674
Botswana,BWA,1996,4847757217.75815
Botswana,BWA,2000,5788329609.15755
Botswana,BWA,2004,8957467706.5354
Botswana,BWA,2008,10730829116.4105
Botswana,BWA,2012,13907464500.1489
Botswana,BWA,2016,15082637184.0496
Botswana,BWA,2020,14960251610.8975
Central African Republic,CAF,1960,112155598.492157
Central African Republic,CAF,1964,142025078.735754
Central African Republic,CAF,1968,191767441.604577
Central African Republic,CAF,1972,230317883.36443
Central African Republic,CAF,1976,451152461.31276
Central African Republic,CAF,1980,797048198.534875
Central African Republic,CAF,1984,637820670.299604
Central African Republic,CAF,1988,1264899287.51261
Central African Republic,CAF,1992,1411917553.12436
Central African Republic,CAF,1996,1007791127.09913
Central African Republic,CAF,2000,916777282.691659
Central African Republic,CAF,2004,1272360517.32373
Central African Republic,CAF,2008,1993407888.49838
Central African Republic,CAF,2012,2510126512.22831
Central African Republic,CAF,2016,1825018144.65595
Central African Republic,CAF,2020,2326720900.38047
Canada,CAN,1960,40563768946.9503
Canada,CAN,1964,49503663836.3665
Canada,CAN,1968,72048833006.1602
Canada,CAN,1972,113463848873.624
Canada,CAN,1976,207271612576.065
Canada,CAN,1980,274776566028.053
Canada,CAN,1984,356718400123.543
Canada,CAN,1988,509380027626.554
Canada,CAN,1992,594387358318.855
Canada,CAN,1996,630607994132.747
Canada,CAN,2000,744773415931.587
Canada,CAN,2004,1026690238278.25
Canada,CAN,2008,1552989690721.65
Canada,CAN,2012,1828366481521.6
Canada,CAN,2016,1527994741907.43
Canada,CAN,2020,1655684730000.19
Central Europe and the Baltics,CEB,1992,255096853829.453
Central Europe and the Baltics,CEB,1996,417518097817.204
Central Europe and the Baltics,CEB,2000,429412709571.523
Central Europe and the Baltics,CEB,2004,763490469817.591
Central Europe and the Baltics,CEB,2008,1530270737277.41
Central Europe and the Baltics,CEB,2012,1361902857707.2
Central Europe and the Baltics,CEB,2016,1321565597216.69
Central Europe and the Baltics,CEB,2020,1679770251031.92
Switzerland,CHE,1960,10412232620.5258
Switzerland,CHE,1964,15833133857.6281
Switzerland,CHE,1968,20712102793.8026
Switzerland,CHE,1972,36844318854.2403
Switzerland,CHE,1976,68476524643.943
Switzerland,CHE,1980,122557843886.137
Switzerland,CHE,1984,109455312167.511
Switzerland,CHE,1988,215540625298.982
Switzerland,CHE,1992,279921425828.474
Switzerland,CHE,1996,340103959546.926
Switzerland,CHE,2000,279216033870.204
Switzerland,CHE,2004,403912891033.374
Switzerland,CHE,2008,567267767519.158
Switzerland,CHE,2012,686420221557.99
Switzerland,CHE,2016,687895460902.713
Switzerland,CHE,2020,741999406005.627
Channel Islands,CHI,2000,6439703434.71024
Channel Islands,CHI,2004,8553643354.08275
Channel Islands,CHI,2012,9455340126.38231
Channel Islands,CHI,2016,9169278152.84904
Channel Islands,CHI,2020,9439810769.23077
Chile,CHL,1960,4211103676.74027
Chile,CHL,1964,6065708668.32735
Chile,CHL,1968,7286820526.02462
Chile,CHL,1972,12057501634.979
Chile,CHL,1976,10523479088.8075
Chile,CHL,1980,29586676576.0951
Chile,CHL,1984,19974595028.1582
Chile,CHL,1988,26174858613.8456
Chile,CHL,1992,46538895685.8088
Chile,CHL,1996,78584098983.6374
Chile,CHL,2000,78339750721.364
Chile,CHL,2004,99075985773.6682
Chile,CHL,2008,179894594475.405
Chile,CHL,2012,267024782486.855
Chile,CHL,2016,249344863928.438
Chile,CHL,2020,254042159309.311
China,CHN,1960,59846235024.7318
China,CHN,1964,59821862703.4023
China,CHN,1968,70980323818.7853
China,CHN,1972,113871930713.841
China,CHN,1976,154196810058.643
China,CHN,1980,191487500000
China,CHN,1984,260442857142.857
China,CHN,1988,312888888888.889
China,CHN,1992,428502354788.069
China,CHN,1996,868523936530.083
China,CHN,2000,1223754919971.05
China,CHN,2004,1984196551300.44
China,CHN,2008,4667346414521.95
China,CHN,2012,8673664713189.24
China,CHN,2016,11456024084962
China,CHN,2020,14996414166715.1
Cote d'Ivoire,CIV,1960,546203559.344361
Cote d'Ivoire,CIV,1964,921063326.589918
Cote d'Ivoire,CIV,1968,1281281276.72357
Cote d'Ivoire,CIV,1972,1849400401.64724
Cote d'Ivoire,CIV,1976,4662053824.83955
Cote d'Ivoire,CIV,1980,10175617609.0962
Cote d'Ivoire,CIV,1984,6841639246.8996
Cote d'Ivoire,CIV,1988,10255169805.7996
Cote d'Ivoire,CIV,1992,11152971273.9383
Cote d'Ivoire,CIV,1996,18071152830.6101
Cote d'Ivoire,CIV,2000,16577533891.8785
Cote d'Ivoire,CIV,2004,23510575681.3686
Cote d'Ivoire,CIV,2008,34078240293.2559
Cote d'Ivoire,CIV,2012,36302302877.2977
Cote d'Ivoire,CIV,2016,48407761036.8238
Cote d'Ivoire,CIV,2020,63027852805.4204
Cameroon,CMR,1960,614206068.497266
Cameroon,CMR,1964,776650176.904453
Cameroon,CMR,1968,1046191217.79942
Cameroon,CMR,1972,1498251889.66287
Cameroon,CMR,1976,2898090001.8562
Cameroon,CMR,1980,6674569046.6832
Cameroon,CMR,1984,7311938026.36713
Cameroon,CMR,1988,12236057362.4917
Cameroon,CMR,1992,12071775335.0433
Cameroon,CMR,1996,11093538846.4483
Cameroon,CMR,2000,10566579294.9831
Cameroon,CMR,2004,18826214135.6419
Cameroon,CMR,2008,27715142032.913
Cameroon,CMR,2012,30155062329.2821
Cameroon,CMR,2016,33814337044.3765
Cameroon,CMR,2020,40773241177.0505
"Congo, Dem. Rep.",COD,1960,3359404117.64706
"Congo, Dem. Rep.",COD,1964,2881545272.72727
"Congo, Dem. Rep.",COD,1968,3909780538.92216
"Congo, Dem. Rep.",COD,1972,6173712814.37126
"Congo, Dem. Rep.",COD,1976,9648583224.99212
"Congo, Dem. Rep.",COD,1980,14394927494.8647
"Congo, Dem. Rep.",COD,1984,7857729193.20343
"Congo, Dem. Rep.",COD,1988,8861299976.74158
"Congo, Dem. Rep.",COD,1992,8227343907.26679
"Congo, Dem. Rep.",COD,1996,5771456952.1908
"Congo, Dem. Rep.",COD,2000,19088046305.7971
"Congo, Dem. Rep.",COD,2004,10297483481.223
"Congo, Dem. Rep.",COD,2008,19788515590.1284
"Congo, Dem. Rep.",COD,2012,29306235285.2597
"Congo, Dem. Rep.",COD,2016,37134801555.3322
"Congo, Dem. Rep.",COD,2020,48716961860.1325
"Congo, Rep.",COG,1960,131731862.783017
"Congo, Rep.",COG,1964,185693724.905233
"Congo, Rep.",COG,1968,251247457.765525
"Congo, Rep.",COG,1972,410669263.651798
"Congo, Rep.",COG,1976,754549601.391492
"Congo, Rep.",COG,1980,1705796852.89473
"Congo, Rep.",COG,1984,2193581365.34299
"Congo, Rep.",COG,1988,2212536311.99319
"Congo, Rep.",COG,1992,2933222703.0334
"Congo, Rep.",COG,1996,2540697539.05773
"Congo, Rep.",COG,2000,3227927697.57921
"Congo, Rep.",COG,2004,4656974940.12721
"Congo, Rep.",COG,2008,11649857673.4436
"Congo, Rep.",COG,2012,17692911296.3044
"Congo, Rep.",COG,2016,10931328150.8478
"Congo, Rep.",COG,2020,11468687464.0046
Colombia,COL,1960,4031152976.63904
Colombia,COL,1964,5973366666.66667
Colombia,COL,1968,5960212869.12968
Colombia,COL,1972,8671358732.68486
Colombia,COL,1976,15341403660.4698
Colombia,COL,1980,33400735644.0481
Colombia,COL,1984,38253120737.9671
Colombia,COL,1988,39212550050.4223
Colombia,COL,1992,58394443377.5416
Colombia,COL,1996,97153389010.9466
Colombia,COL,2000,99875074951.0278
Colombia,COL,2004,117092416666.245
Colombia,COL,2008,242504150472.931
Colombia,COL,2012,370691143018.039
Colombia,COL,2016,282720100286.228
Colombia,COL,2020,270348342541.465
Comoros,COM,1980,212218261.585643
Comoros,COM,1984,184697225.637076
Comoros,COM,1988,356500032.676316
Comoros,COM,1992,457388651.500941
Comoros,COM,1996,396053805.891754
Comoros,COM,2000,351136579.648632
Comoros,COM,2004,633706110.795614
Comoros,COM,2008,915659107.965823
Comoros,COM,2012,1015842906.66403
Comoros,COM,2016,1012835492.51575
Comoros,COM,2020,1225039195.93742
Cabo Verde,CPV,1980,142246815.345007
Cabo Verde,CPV,1984,132019038.591628
Cabo Verde,CPV,1988,264308140.285149
Cabo Verde,CPV,1992,357160985.327413
Cabo Verde,CPV,1996,501979269.843942
Cabo Verde,CPV,2000,539227277.626411
Cabo Verde,CPV,2004,924940011.836897
Cabo Verde,CPV,2008,1959620648.31578
Cabo Verde,CPV,2012,1913081210.41411
Cabo Verde,CPV,2016,1849789985.99572
Cabo Verde,CPV,2020,1821565613.68613
Costa Rica,CRI,1960,507513829.994855
Costa Rica,CRI,1964,542578367.242598
Costa Rica,CRI,1968,773841494.339623
Costa Rica,CRI,1972,1238251695.55388
Costa Rica,CRI,1976,2412555425.90432
Costa Rica,CRI,1980,4831447001.16686
Costa Rica,CRI,1984,3660477856.22977
Costa Rica,CRI,1988,4614629898.40348
Costa Rica,CRI,1992,8579754757.93237
Costa Rica,CRI,1996,11678424507.2457
Costa Rica,CRI,2000,15013629661.8969
Costa Rica,CRI,2004,18610594846.2083
Costa Rica,CRI,2008,30801745700.4514
Costa Rica,CRI,2012,47231655431.718
Costa Rica,CRI,2016,58847019609.743
Costa Rica,CRI,2020,62395610759.9798
Caribbean small states,CSS,1960,1165303060.28689
Caribbean small states,CSS,1964,1546223257.5277
Caribbean small states,CSS,1968,1980508885.71067
Caribbean small states,CSS,1972,2734457344.69049
Caribbean small states,CSS,1976,4937767512.99323
Caribbean small states,CSS,1980,10876340879.3427
Caribbean small states,CSS,1984,13689070378.954
Caribbean small states,CSS,1988,12745727415.7592
Caribbean small states,CSS,1992,14243495786.367
